País,2018,2017,2016,2015,2014,2013,2012,2011,2010
Afeganistão,"15,16","16,09","17,10","18,25","19,50","20,81","22,21","23,67","25,19"
África do Sul,"7,15","7,21","7,46","7,97","8,46","9,42","10,77","13,93","18,24"
Albânia,"1,06","1,05","1,05","1,06","1,10","1,16","1,23","1,33","1,44"
Alemanha,"0,59","0,60","0,62","0,63","0,64","0,65","0,67","0,68","0,70"
Andorra,"0,18","0,19","0,21","0,23","0,25","0,28","0,30","0,33","0,36"
Angola,"27,04","28,62","30,27","32,18","34,49","37,24","40,45","44,13","48,09"
Antígua e Barbuda,"1,10","1,16","1,21","1,28","1,34","1,43","1,52","1,62","1,73"
Arábia Saudita,"1,12","1,18","1,24","1,31","1,39","1,47","1,55","1,63","1,73"
Argélia,"3,45","3,52","3,59","3,64","3,69","3,73","3,78","3,86","3,96"
Argentina,"1,08","1,14","1,21","1,26","1,32","1,38","1,44","1,50","1,56"
Armênia,"1,32","1,38","1,45","1,52","1,60","1,68","1,77","1,87","1,98"
Austrália,"0,57","0,58","0,59","0,61","0,63","0,66","0,69","0,73","0,77"
Áustria,"0,64","0,64","0,64","0,65","0,67","0,69","0,71","0,73","0,75"
Azerbaijão,"2,38","2,56","2,78","3,03","3,34","3,68","4,08","4,51","4,98"
Bahamas,"1,86","1,92","1,97","2,02","2,07","2,11","2,16","2,21","2,27"
Bahrein,"1,04","1,07","1,09","1,10","1,12","1,14","1,16","1,19","1,23"
Bangladesh,"5,72","6,18","6,71","7,27","7,85","8,48","9,15","9,87","10,66"
Barbados,"0,94","0,97","1,00","1,03","1,06","1,10","1,12","1,15","1,18"
Bélgica,"0,78","0,77","0,76","0,76","0,76","0,77","0,79","0,80","0,82"
Belize,"1,82","1,93","2,05","2,17","2,29","2,41","2,54","2,66","2,77"
Benim,"33,53","34,63","35,70","36,79","37,87","38,98","40,10","41,23","42,38"
Bielorrússia,"0,83","0,88","0,94","0,99","1,04","1,10","1,17","1,25","1,34"
Bolívia,"5,20","5,47","5,77","6,13","6,55","7,04","7,59","8,23","8,93"
Bósnia e Herzegovina,"0,81","0,83","0,84","0,84","0,85","0,86","0,88","0,91","0,94"
Botsuana,"9,75","10,00","10,22","10,49","10,48","10,60","11,10","11,24","12,36"
Brasil,"1,64","1,66","1,81","1,72","1,76","1,80","1,86","1,93","2,02"
Brunei Darussalam,"1,88","1,87","1,85","1,84","1,82","1,80","1,79","1,79","1,78"
Bulgária,"1,14","1,20","1,26","1,33","1,42","1,51","1,60","1,70","1,77"
Burkina Faso,"37,55","39,56","41,69","43,87","46,19","48,65","51,33","54,21","57,28"
Burundi,"18,46","19,61","20,96","22,50","24,21","26,20","28,47","30,96","33,61"
